"Order"	"Family"	"Genus"	"Species"	"taxon"	"mn_long"	"mn_lat"	"mn_lat_abs"	"n_obs"	"md_density"	"HYP"	"FAL"	"FOL"	"FSF"	"FOT"	"MASSKG"	"massPHY"	"MASSALL"	"taxonPhy"
"Artiodactyla"	"Bovidae"	"Addax"	"nasomaculatus"	"Addax nasomaculatus"	9	18	18	1	0.0002585315	3	0	1	1	0	111	70.0003	70.0003	"Addax_nasomaculatus_Centroid"
"Artiodactyla"	"Bovidae"	"Aepyceros"	"melampus"	"Aepyceros melampus"	32.4	-10.9	10.9	121	2.2322435175	3	1	1	0	0	51	52.5001	52.5001	"Aepyceros_melampus_Centroid"
"Artiodactyla"	"Bovidae"	"Alcelaphus"	"buselaphus"	"Alcelaphus buselaphus"	33.6	-1.2	1.2	67	0.3081664099	3	0	1	0	1	150	171.0015	171.0015	"Alcelaphus_buselaphus_Centroid"
"Artiodactyla"	"Bovidae"	"Alcelaphus"	"caama"	"Alcelaphus caama"	23.2	-25.6	25.6	21	0.2033333333	3	0	1	0	1	176	NA	176	"Alcelaphus_caama_Centroid"
"Artiodactyla"	"Bovidae"	"Alcelaphus"	"lichtensteinii"	"Alcelaphus lichtensteinii"	33	-9.7	9.7	21	0.0981308411	3	0	1	0	1	153	NA	153	"Alcelaphus_lichtensteinii_Centroid"
"Artiodactyla"	"Bovidae"	"Antidorcas"	"marsupialis"	"Antidorcas marsupialis"	21.2	-25.3	25.3	24	0.575	3	1	1	0	0	31	31.5	31.5	"Antidorcas_marsupialis_Centroid"
"Artiodactyla"	"Bovidae"	"Antilope"	"cervicapra"	"Antilope cervicapra"	79.5	22.8	22.8	21	0.0245098039	3	1	0	0	0	37.3	37.5	37.5	"Antilope_cervicapra_Centroid"
"Artiodactyla"	"Bovidae"	"Beatragus"	"hunteri"	"Beatragus hunteri"	38.5	-1	1	3	0.0125	3	0	1	0	1	85	80	80	"Beatragus_hunteri_Centroid"
"Artiodactyla"	"Bovidae"	"Bison"	"bison"	"Bison bison"	-111	57.4	57.4	1	0.153	3	0	1	1	0	624	579.2553	579.2553	"Bison_bison_Centroid"
"Artiodactyla"	"Bovidae"	"Bos"	"gaurus"	"Bos gaurus"	80	19.8	19.8	73	0.7871148459	3	0	1	1	0	882	825	825	"Bos_gaurus_Centroid"
"Artiodactyla"	"Bovidae"	"Bos"	"grunniens"	"Bos grunniens"	92	35.8	35.8	4	1.05	3	0	1	1	0	333	NA	333	"Bos_grunniens_Centroid"
"Artiodactyla"	"Bovidae"	"Boselaphus"	"tragocamelus"	"Boselaphus tragocamelus"	79.3	23.4	23.4	70	0.659922179	2	0	1	1	0	195	169	169	"Boselaphus_tragocamelus_Centroid"
"Artiodactyla"	"Bovidae"	"Bubalus"	"bubalis"	"Bubalus bubalis"	77.2	9.5	9.5	4	1.53796653795	3	0	1	1	0	950	NA	950	"Bubalus_bubalis_Centroid"
"Artiodactyla"	"Bovidae"	"Capricornis"	"crispus"	"Capricornis crispus"	131	32	32	1	1.8	3	1	1	0	0	37.2	37.16	37.16	"Capricornis_crispus_Centroid"
"Artiodactyla"	"Bovidae"	"Capricornis"	"sumatrensis"	"Capricornis sumatrensis"	102.5	4.8	4.8	1	0.23	3	1	1	0	0	102	NA	102	"Capricornis_sumatrensis_Centroid"
"Artiodactyla"	"Bovidae"	"Cephalophus"	"adersi"	"Cephalophus adersi"	39.3	-6.1	6.1	1	1.75	2	0	1	1	0	9.6	9.25	9.25	"Cephalophus_adersi_Centroid"
"Artiodactyla"	"Bovidae"	"Cephalophus"	"natalensis"	"Cephalophus natalensis"	32.4	-22.5	22.5	5	0.310880829	2	1	1	0	0	13	12	12	"Cephalophus_natalensis_Centroid"
"Artiodactyla"	"Bovidae"	"Cephalophus"	"niger"	"Cephalophus niger"	-3.5	9	9	1	0.0656455142	1	1	1	0	0	20	20.4	20.4	"Cephalophus_niger_Centroid"
