"V1"	"V2"	"V3"	"V4"	"V5"	"V6"	"V7"	"V8"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"
"all"	"9430"	"NPP"	"0.46"	"0.42"	"0.28"	"0.47"	"PREC"	"0.43"	"0.29"	"0.27"	"0.43"	"TEMP"	"0.02"	"0.13"	"0"	"0.02"
"plim"	"8724"	"NPP"	"0.49"	"0.41"	"0.31"	"0.5"	"PREC"	"0.5"	"0.34"	"0.33"	"0.51"	"TEMP"	"0.03"	"0.12"	"0.01"	"0.03"
"tlim"	"706"	"NPP"	"0.58"	"0.71"	"0.19"	"0.6"	"PREC"	"0.53"	"0.62"	"0.16"	"0.55"	"TEMP"	"0.6"	"0.72"	"0.2"	"0.62"
"Af"	"288"	"NPP"	"0.06"	"0.07"	"0"	"0.06"	"PREC"	"0.03"	"0.04"	"0"	"0.03"	"TEMP"	"0.29"	"0.27"	"0.12"	"0.29"
"Am"	"671"	"NPP"	"0"	"0"	"0.02"	"0"	"PREC"	"0"	"0"	"0.04"	"0"	"TEMP"	"0.1"	"0.09"	"0.05"	"0.1"
"Aw"	"3763"	"NPP"	"0.39"	"0.22"	"0.3"	"0.39"	"PREC"	"0.39"	"0.21"	"0.3"	"0.39"	"TEMP"	"0"	"0.01"	"0"	"0"
"BSh"	"1446"	"NPP"	"0.13"	"0.13"	"0.06"	"0.13"	"PREC"	"0.13"	"0.12"	"0.06"	"0.13"	"TEMP"	"0.27"	"0.17"	"0.12"	"0.28"
"BSk"	"138"	"NPP"	"0.02"	"0.06"	"0.06"	"0.02"	"PREC"	"0.02"	"0.07"	"0.06"	"0.02"	"TEMP"	"0.33"	"0.07"	"0.36"	"0.33"
"BWh"	"592"	"NPP"	"0.13"	"0.21"	"0.05"	"0.14"	"PREC"	"0.14"	"0.21"	"0.05"	"0.14"	"TEMP"	"0.42"	"0.48"	"0.21"	"0.43"
"BWk"	"78"	"NPP"	"0.15"	"0.01"	"0.21"	"0.14"	"PREC"	"0.15"	"0.01"	"0.21"	"0.14"	"TEMP"	"0.06"	"0.05"	"0.02"	"0.06"
"Cfa"	"163"	"NPP"	"0.49"	"0.5"	"0.47"	"0.49"	"PREC"	"0.43"	"0.43"	"0.41"	"0.43"	"TEMP"	"0.09"	"0.05"	"0.1"	"0.09"
"Cfb"	"51"	"NPP"	"0.61"	"0.81"	"0.53"	"0.61"	"PREC"	"0.58"	"0.78"	"0.49"	"0.58"	"TEMP"	"0.31"	"0.32"	"0.29"	"0.32"
"Csb"	"55"	"NPP"	"0.61"	"0.53"	"0.46"	"0.62"	"PREC"	"0.54"	"0.44"	"0.4"	"0.55"	"TEMP"	"0.01"	"0.04"	"0"	"0.01"
"Cwa"	"1144"	"NPP"	"0.39"	"0.26"	"0.2"	"0.4"	"PREC"	"0.24"	"0.18"	"0.1"	"0.25"	"TEMP"	"0.01"	"0.05"	"0"	"0.01"
"Cwb"	"464"	"NPP"	"0.14"	"0.26"	"0.04"	"0.14"	"PREC"	"0.11"	"0.13"	"0.04"	"0.12"	"TEMP"	"0.1"	"0.05"	"0.16"	"0.1"
"Dwb"	"44"	"NPP"	"0.29"	"0.23"	"0.23"	"0.29"	"PREC"	"0.07"	"0.29"	"0"	"0.07"	"TEMP"	"0.19"	"0.07"	"0.23"	"0.19"
"Dwc"	"42"	"NPP"	"0.24"	"0.29"	"0.2"	"0.25"	"PREC"	"0.78"	"0.81"	"0.72"	"0.78"	"TEMP"	"0.23"	"0.26"	"0.19"	"0.23"
"ET"	"317"	"NPP"	"0.32"	"0.3"	"0.26"	"0.32"	"PREC"	"0.32"	"0.29"	"0.31"	"0.32"	"TEMP"	"0.32"	"0.32"	"0.25"	"0.32"
