"HID"	"X"	"Y"
34588	-16.530015	14.46607
34668	-16.921068	14.174795
34669	-16.005757	14.30314
34750	-16.396466	14.012319
34831	-16.786678	13.721729
34912	-16.263034	13.558362
34993	-16.65241	13.268441
35155	-16.518239	12.814918
35236	-16.906375	12.52602
39384	-16.636596	11.619493
39385	-16.384141	12.361151
39386	-16.129696	13.104186
39387	-15.873176	13.848519
39465	-16.251192	11.903444
39466	-15.997809	12.645364
39467	-15.742312	13.388655
39547	-15.865432	12.186943
39548	-15.611055	12.929119
39549	-15.354436	13.672659
39627	-15.983402	10.989543
39628	-15.732443	11.728998
39629	-15.479286	12.469982
39630	-15.223845	13.212409
39708	-15.598714	11.271613
39709	-15.34688	12.011322
39710	-15.092719	12.752558
39711	-14.836146	13.49523
39789	-15.464113	10.814875
39790	-15.213709	11.553222
39791	-14.960933	12.293181
39792	-14.7057	13.034663
39793	-14.447924	13.777574
39871	-15.079638	11.095771
39872	-14.828355	11.834364
39873	-14.57457	12.574569
39874	-14.318196	13.316292
39951	-14.944525	10.639066
39952	-14.694848	11.376197
39953	-14.442621	12.115034
39954	-14.187759	12.85548
39955	-13.930173	13.597438
39956	-13.669773	14.340807
40033	-14.56027	10.91878
40034	-14.309715	11.65615
40035	-14.056476	12.395227
40036	-13.800466	13.135909
40037	-13.541597	13.878096
40038	-13.279776	14.621683
40114	-14.424469	10.462219
40115	-14.175706	11.198017
40116	-13.924208	11.935624
40117	-13.669888	12.674936
40118	-13.41266	13.41585
40119	-13.152434	14.158259
40194	-14.287289	10.00663
40195	-14.040442	10.740745
40196	-13.790804	11.476773
40197	-13.538294	12.214612
40198	-13.282825	12.954156
40199	-13.024307	13.695296
40200	-12.76265	14.437921
40276	-13.90376	10.284451
40277	-13.656111	11.018786
40278	-13.405533	11.755042
40279	-13.151943	12.493111
40280	-12.895253	13.232881
40281	-12.635373	13.974241
40357	-13.765493	9.829263
40358	-13.519963	10.561783
40359	-13.271447	11.296338
40360	-13.019863	12.032819
40361	-12.765123	12.771113
40362	-12.507141	13.511106
40363	-12.245823	14.25268
40364	-11.981075	14.995715
40437	-13.625463	9.375321
40438	-13.382189	10.105894
40439	-13.135869	10.838623
40440	-12.886421	11.573395
40441	-12.633761	12.310098
40442	-12.377802	13.048614
40443	-12.118454	13.788823
40444	-11.855623	14.530605
40445	-11.589212	15.273834
40518	-13.483482	8.922776
40519	-13.242608	9.651261
40520	-12.998624	10.382028
40521	-12.75145	11.114964
40522	-12.501003	11.849952
40523	-12.247199	12.586873
40524	-11.989948	13.325607
40525	-11.729159	14.066029
40526	-11.464737	14.808011
40599	-13.339355	8.471792
40600	-13.101029	9.198039
40601	-12.859526	9.9267
40602	-12.614768	10.65766
40603	-12.366675	11.390801
40604	-12.115162	12.126002
40605	-11.860143	12.86314
40606	-11.601527	13.602087
40607	-11.339221	14.342715
40608	-11.07313	15.08489
40679	-13.192873	8.022547
40680	-12.957249	8.746396
40681	-12.71838	9.472797
40682	-12.476188	10.201633
40683	-12.230594	10.932785
40684	-11.981516	11.66613
40685	-11.728868	12.401542
40686	-11.472561	13.138892
40687	-11.212506	13.878048
40688	-10.948606	14.618875
40689	-10.680764	15.361236
40761	-12.811057	8.296514
40762	-12.57498	9.02049
40763	-12.33551	9.747043
40764	-12.092568	10.476054
40765	-11.846073	11.207396
40766	-11.595943	11.940944
40767	-11.342089	12.676564
40768	-11.084423	13.414123
40769	-10.822851	14.153484
40770	-10.557277	14.894504
40842	-12.662229	7.848592
40843	-12.42911	8.569966
40844	-12.192523	9.294067
40845	-11.952392	10.020773
40846	-11.708637	10.749957
40847	-11.461177	11.48149
40848	-11.209925	12.215238
40849	-10.954794	12.951064
40850	-10.695693	13.688829
40851	-10.432527	14.428388
40852	-10.165199	15.169595
40922	-12.510526	7.402844
40923	-12.280537	8.121429
40924	-12.047004	8.842897
40925	-11.80985	9.567123
40926	-11.568999	10.293981
40927	-11.324368	11.023338
40928	-11.075875	11.75506
40929	-10.823433	12.489007
40930	-10.566952	13.225037
40931	-10.30634	13.963003
40932	-10.041501	14.702755
41004	-12.12902	7.6751
41005	-11.898717	8.39374
41006	-11.664715	9.1153
41007	-11.426937	9.839652
41008	-11.185304	10.566661
